اسم المنطقة/الحي,لواء (متصرفية),مديرية الشرطة,مركز الأمن العام الأقرب,العنوان التقريبي,خط العرض,خط الطول
أبو السوس,لواء وادي السير,مديرية شرطة جنوب عمان,مركز أمن البيادر,أبو السوس,31.9183,35.7834
أبو حامد,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن أبو نصير,أبو حامد,32.1018,35.8845
أبو صوانة,لواء سحاب,مديرية شرطة شرق عمان,مركز أمن سحاب,أبو صوانة,31.8808,35.9831
أبو نصير,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن أبو نصير,أبو نصير,32.0540,35.8730
أدبيان,لواء ناعور,مديرية شرطة جنوب عمان,مركز أمن ناعور,أدبيان,31.8425,35.8557
أم أذينة,لواء وادي السير,مديرية شرطة جنوب عمان,مركز أمن البيادر,أم أذينة,31.9450,35.8580
أم الأسود,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن تلاع العلي,أم الأسود,31.9766,35.7873
أم البرك,لواء ناعور,مديرية شرطة جنوب عمان,مركز أمن ناعور,أم البرك,31.8167,35.8667
أم البساتين,لواء ناعور,مديرية شرطة جنوب عمان,مركز أمن ناعور,أم البساتين,31.8850,35.8000
أم الحيران,لواء القويسمة,مديرية شرطة جنوب عمان,مركز أمن الجويدة,أم الحيران,31.9073,35.9392
أم الرصاص,لواء ناعور,مديرية شرطة جنوب عمان,مركز أمن ناعور,أم الرصاص,31.5008,35.9160
أم السماق,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن تلاع العلي,أم السماق,31.9833,35.8500
أم السومق,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن تلاع العلي,أم السومق,31.9830,35.8530
أم العمد,لواء ناعور,مديرية شرطة جنوب عمان,مركز أمن ناعور,أم العمد,31.7833,35.9000
أم القنافذ,لواء ناعور,مديرية شرطة جنوب عمان,مركز أمن ناعور,أم القنافذ,31.8333,35.8333
أم الكندم,لواء وادي السير,مديرية شرطة جنوب عمان,مركز أمن مرج الحمام,أم الكندم,31.8500,35.8833
أم تل,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن أبو نصير,أم تل,32.1167,35.8333
أم جريسات,لواء ناعور,مديرية شرطة جنوب عمان,مركز أمن ناعور,أم جريسات,31.7117,35.7322
أم جوزة,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن أبو نصير,أم جوزة,32.1085,35.7514
أم حجير,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن أبو نصير,أم حجير,32.0453,35.8882
أم رمانة,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن شفا بدران,أم رمانة,32.1000,35.9333
أم زويتينة,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن أبو نصير,أم زويتينة,32.0333,35.8833
أم قصير,لواء القويسمة,مديرية شرطة جنوب عمان,مركز أمن المقابلين,أم قصير,31.9125,35.9180
أم نوارة,لواء وادي السير,مديرية شرطة جنوب عمان,مركز أمن البيادر,أم نوارة,31.9337,35.8000
ابن سينا,لواء ماركا,مديرية شرطة شرق عمان,مركز أمن ماركا,ابن سينا,32.0821,36.1021
ابو الريغان,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن شفا بدران,ابو الريغان,32.1179,36.0507
ابو القرام,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن شفا بدران,ابو القرام,32.0632,35.9044
ابو القيقب,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن صويلح,ابو القيقب,32.0407,35.7002
ابو طاره,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن صويلح,ابو طاره,32.0367,35.7839
ابو عبيدة,لواء ناعور,مديرية شرطة جنوب عمان,مركز أمن ناعور,ابو عبيدة,31.7080,35.7933
ابو علندا,لواء القويسمة,مديرية شرطة شرق عمان,مركز أمن القويسمة,ابو علندا,31.9027,35.9687
ابو عليا,لواء ماركا,مديرية شرطة شمال عمان,مركز أمن طارق,ابو عليا,32.0046,35.9585
اسكان الجمارك,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن صويلح,اسكان الجمارك,32.0450,35.7883
اسكان المهندسين,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن صويلح,اسكان المهندسين,32.0487,35.7372
اسكان ماركا الجديد,لواء ماركا,مديرية شرطة شرق عمان,مركز أمن ماركا,اسكان ماركا الجديد,31.9843,36.0203
اسكان ماركا القديم,لواء ماركا,مديرية شرطة شرق عمان,مركز أمن ماركا,اسكان ماركا القديم,31.9887,36.0238
الأخضر,لواء قصبة عمان,مديرية شرطة وسط عمان,مركز أمن المهاجرين,الأخضر,31.9368,35.9138
الأشرفية,لواء قصبة عمان,مديرية شرطة شرق عمان,مركز أمن الأشرفية,الأشرفية,31.9380,35.9380
الأمير الحسن,لواء ماركا,مديرية شرطة شرق عمان,مركز أمن النصر,الأمير الحسن,31.9588,35.9728
الأمير حسن,لواء قصبة عمان,مديرية شرطة وسط عمان,مركز أمن النزهة,الأمير حسن,31.9750,35.9450
الأميرة عالية,لواء ماركا,مديرية شرطة شرق عمان,مركز أمن النصر,الأميرة عالية,31.9415,35.9773
الاحسان,لواء القويسمة,مديرية شرطة جنوب عمان,مركز أمن الجويدة,الاحسان,31.8648,35.9502
الاسكان,لواء ماركا,مديرية شرطة شرق عمان,مركز أمن ماركا,الاسكان,32.0876,36.1054
الامانة,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن أبو نصير,الامانة,32.0625,35.8745
الامير الحسين بن عبدالله,لواء ماركا,مديرية شرطة شمال عمان,مركز أمن طارق,الامير الحسين بن عبدالله,32.0201,35.9360
الامير حمزه,لواء ماركا,مديرية شرطة شرق عمان,مركز أمن ماركا,الامير حمزه,32.0557,36.0712
الامير محمد,لواء ماركا,مديرية شرطة شرق عمان,مركز أمن ماركا,الامير محمد,32.0798,36.0934
الاميرة هيا,لواء ماركا,مديرية شرطة شرق عمان,مركز أمن ماركا,الاميرة هيا,32.0688,36.0432
الاندلس,لواء ناعور,مديرية شرطة جنوب عمان,مركز أمن ناعور,الاندلس,31.7042,35.7893
الايمان,لواء القويسمة,مديرية شرطة جنوب عمان,مركز أمن الجويدة,الايمان,31.8729,35.9450
البتراوي,لواء ماركا,مديرية شرطة شرق عمان,مركز أمن ماركا,البتراوي,32.0955,36.0877
البجيع,لواء وادي السير,مديرية شرطة جنوب عمان,مركز أمن البيادر,البجيع,31.9534,35.7442
البحاث الجنوبي,لواء ناعور,مديرية شرطة جنوب عمان,مركز أمن ناعور,البحاث الجنوبي,31.9000,35.8000
البحيرة,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن صويلح,البحيرة,32.0552,35.7274
البسالة,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن أبو نصير,البسالة,32.0543,35.8802
البشائر,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن صويلح,البشائر,32.0133,35.8491
البصة,لواء وادي السير,مديرية شرطة جنوب عمان,مركز أمن البيادر,البصة,31.9333,35.7833
البقعان,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن صويلح,البقعان,32.0596,35.7375
البقعة,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن أبو نصير,البقعة,32.0725,35.8447
البقورية,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن صويلح,البقورية,31.9804,35.7269
البلد,لواء قصبة عمان,مديرية شرطة وسط عمان,مركز أمن المدينة,البلد,31.9502,35.9354
البلدية,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن صويلح,البلدية,32.0245,35.8651
البنيات الجنوبية,لواء وادي السير,مديرية شرطة جنوب عمان,مركز أمن مرج الحمام,البنيات الجنوبية,31.8833,35.8833
البنيات الشمالي,لواء وادي السير,مديرية شرطة جنوب عمان,مركز أمن مرج الحمام,البنيات الشمالي,31.8916,35.8868
البيادر,لواء وادي السير,مديرية شرطة جنوب عمان,مركز أمن البيادر,البيادر,31.9468,35.8388
البيرة,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن شفا بدران,البيرة,32.1618,36.0048
التطوير الحضري,لواء ماركا,مديرية شرطة شرق عمان,مركز أمن ماركا,التطوير الحضري,31.9888,36.0189
التقوى,لواء سحاب,مديرية شرطة شرق عمان,مركز أمن سحاب,التقوى,31.8681,35.9714
التلاع الشرقي,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن ضاحية الرشيد,التلاع الشرقي,31.9834,35.8773
التلاع الشمالي,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن تلاع العلي,التلاع الشمالي,31.9986,35.8654
التنيب,لواء سحاب,مديرية شرطة شرق عمان,مركز أمن سحاب,التنيب,31.8000,35.9500
الثغرة,لواء وادي السير,مديرية شرطة جنوب عمان,مركز أمن البيادر,الثغرة,31.9504,35.7173
الجاردنز,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن ضاحية الرشيد,الجاردنز,31.9853,35.8807
الجامعة,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن ضاحية الرشيد,الجامعة,32.0120,35.8730
الجبر,لواء ماركا,مديرية شرطة شرق عمان,مركز أمن ماركا,الجبر,32.0690,36.0518
الجبل الأبيض,لواء ماركا,مديرية شرطة شرق عمان,مركز أمن ماركا,الجبل الأبيض,32.0524,36.0783
الجبل الشمالي,لواء ماركا,مديرية شرطة شرق عمان,مركز أمن ماركا,الجبل الشمالي,32.0289,36.0406
الجبيل,لواء وادي السير,مديرية شرطة جنوب عمان,مركز أمن البيادر,الجبيل,31.9775,35.7437
الجبيهة,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن ضاحية الرشيد,الجبيهة,32.0189,35.8819
الجندويل,لواء وادي السير,مديرية شرطة جنوب عمان,مركز أمن البيادر,الجندويل,31.9607,35.8406
الجندي,لواء ماركا,مديرية شرطة شرق عمان,مركز أمن ماركا,الجندي,32.0264,36.0809
الجويدة,لواء القويسمة,مديرية شرطة جنوب عمان,مركز أمن الجويدة,الجويدة,31.8980,35.9450
الجيزة,لواء سحاب,مديرية شرطة شرق عمان,مركز أمن سحاب,الجيزة,31.7000,35.9500
الحديقة,لواء ماركا,مديرية شرطة شرق عمان,مركز أمن ماركا,الحديقة,32.0599,36.0858
الحرية,لواء وادي السير,مديرية شرطة جنوب عمان,مركز أمن مرج الحمام,الحرية,31.9000,35.8833
الحسنية,لواء القويسمة,مديرية شرطة جنوب عمان,مركز أمن المقابلين,الحسنية,31.9065,35.8972
الحمد,لواء ناعور,مديرية شرطة جنوب عمان,مركز أمن ناعور,الحمد,31.7185,35.8031
الحمر,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن صويلح,الحمر,32.0167,35.8167
الحمرانية,لواء القويسمة,مديرية شرطة جنوب عمان,مركز أمن المقابلين,الحمرانية,31.9202,35.9027
الحمزة,لواء القويسمة,مديرية شرطة جنوب عمان,مركز أمن المقابلين,الحمزة,31.9200,35.8950
الحمزة الشرقية,لواء وادي السير,مديرية شرطة جنوب عمان,مركز أمن البيادر,الحمزة الشرقية,31.9480,35.8640
الحواسية,لواء ناعور,مديرية شرطة جنوب عمان,مركز أمن ناعور,الحواسية,31.8167,35.8500
الحويج,لواء وادي السير,مديرية شرطة جنوب عمان,مركز أمن البيادر,الحويج,31.9572,35.7225
الخالدين,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن صويلح,الخالدين,32.0011,35.8481
الخضر,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن صويلح,الخضر,32.0403,35.7275
الخضراء,لواء ناعور,مديرية شرطة جنوب عمان,مركز أمن ناعور,الخضراء,31.7881,35.8743
الخلفاء,لواء ناعور,مديرية شرطة جنوب عمان,مركز أمن ناعور,الخلفاء,31.7192,35.7868
الدباب,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن أبو نصير,الدباب,32.1482,35.7005
الدهامشة,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن أبو نصير,الدهامشة,32.1483,35.8803
الدوار الأول,لواء قصبة عمان,مديرية شرطة وسط عمان,مركز أمن المهاجرين,الدوار الأول,31.9507,35.9230
الدوار الثالث,لواء قصبة عمان,مديرية شرطة وسط عمان,مركز أمن زهران,الدوار الثالث,31.9540,35.9106
الدوار الثامن,لواء وادي السير,مديرية شرطة جنوب عمان,مركز أمن البيادر,الدوار الثامن,31.9564,35.8472
الدوار الثاني,لواء قصبة عمان,مديرية شرطة وسط عمان,مركز أمن زهران,الدوار الثاني,31.9515,35.9157
الدوار الخامس,لواء قصبة عمان,مديرية شرطة وسط عمان,مركز أمن زهران,الدوار الخامس,31.9607,35.8805
الدوار الرابع,لواء قصبة عمان,مديرية شرطة وسط عمان,مركز أمن زهران,الدوار الرابع,31.9560,35.8962
الدوار السابع,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن تلاع العلي,الدوار السابع,31.9593,35.8576
الدويك,لواء ماركا,مديرية شرطة شرق عمان,مركز أمن ماركا,الدويك,32.0469,36.0565
الذراع,لواء قصبة عمان,مديرية شرطة وسط عمان,مركز أمن المهاجرين,الذراع,31.9319,35.9163
الرابية,لواء قصبة عمان,مديرية شرطة وسط عمان,مركز أمن زهران,الرابية,31.9670,35.8780
الراية,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن أبو نصير,الراية,32.1626,35.8818
الرباحية,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن تلاع العلي,الرباحية,31.9737,35.8141
الربوة,لواء ماركا,مديرية شرطة شرق عمان,مركز أمن النصر,الربوة,31.9496,35.9869
الرجيب,لواء سحاب,مديرية شرطة شرق عمان,مركز أمن سحاب,الرجيب,31.8995,35.9841
الرحمانية,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن صويلح,الرحمانية,32.0116,35.8327
الرحيل,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن شفا بدران,الرحيل,32.1300,36.0441
الرشاد,لواء ناعور,مديرية شرطة جنوب عمان,مركز أمن ناعور,الرشاد,31.7388,35.7987
الرشيد,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن ضاحية الرشيد,الرشيد,31.9970,35.8926
الرقيم,لواء القويسمة,مديرية شرطة جنوب عمان,مركز أمن الجويدة,الرقيم,31.8980,35.9680
الرمان,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن أبو نصير,الرمان,32.1650,35.8336
الرميمين,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن أبو نصير,الرميمين,32.1069,35.8017
الروابي,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن تلاع العلي,الروابي,31.9657,35.8558
الروضة,لواء قصبة عمان,مديرية شرطة جنوب عمان,مركز أمن جبل الزهور,الروضة,31.9156,35.9210
الروضة ناعور,لواء ناعور,مديرية شرطة جنوب عمان,مركز أمن ناعور,الروضة ناعور,31.8220,35.8269
الرونق,لواء وادي السير,مديرية شرطة جنوب عمان,مركز أمن البيادر,الرونق,31.9499,35.8404
الرياض,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن شفا بدران,الرياض,32.0930,35.9953
الزرقاء الجديدة,لواء ماركا,مديرية شرطة شرق عمان,مركز أمن ماركا,الزرقاء الجديدة,32.0881,36.0964
الزهراء,لواء ماركا,مديرية شرطة شرق عمان,مركز أمن ماركا,الزهراء,31.9808,35.9980
الزهور,لواء قصبة عمان,مديرية شرطة جنوب عمان,مركز أمن جبل الزهور,الزهور,31.9204,35.9235
الزواهرة,لواء ماركا,مديرية شرطة شرق عمان,مركز أمن ماركا,الزواهرة,32.0653,36.0690
الزيتونة,لواء ناعور,مديرية شرطة جنوب عمان,مركز أمن ناعور,الزيتونة,31.7256,35.8073
السامك,لواء ناعور,مديرية شرطة جنوب عمان,مركز أمن ناعور,السامك,31.8000,35.8500
السخنة,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن شفا بدران,السخنة,32.1308,36.0695
السعادة,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن أبو نصير,السعادة,32.0649,35.8818
السلالم,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن صويلح,السلالم,32.0372,35.7364
السلط,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن صويلح,السلط,32.0353,35.7236
السليحي,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن أبو نصير,السليحي,32.1228,35.8311
السهل,لواء وادي السير,مديرية شرطة جنوب عمان,مركز أمن البيادر,السهل,31.9557,35.8539
الشفا السلط,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن صويلح,الشفا السلط,32.0473,35.7599
الشفتة,لواء سحاب,مديرية شرطة شرق عمان,مركز أمن سحاب,الشفتة,31.7833,35.9667
الشميساني,لواء قصبة عمان,مديرية شرطة وسط عمان,مركز أمن الشميساني,الشميساني,31.9680,35.9050
الشهيد الجنوبي,لواء قصبة عمان,مديرية شرطة شمال عمان,مركز أمن الهاشمي,الشهيد الجنوبي,31.9865,35.9578
الشهيد الشمالي,لواء ماركا,مديرية شرطة شمال عمان,مركز أمن طارق,الشهيد الشمالي,31.9920,35.9563
الشيوخ,لواء ماركا,مديرية شرطة شرق عمان,مركز أمن ماركا,الشيوخ,32.0792,36.1006
الصالحين,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن تلاع العلي,الصالحين,31.9886,35.8548
الصانع,لواء وادي السير,مديرية شرطة جنوب عمان,مركز أمن البيادر,الصانع,31.9300,35.8700
الصبيحي,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن أبو نصير,الصبيحي,32.1544,35.7009
الصحابة,لواء وادي السير,مديرية شرطة جنوب عمان,مركز أمن مرج الحمام,الصحابة,31.9078,35.8751
الصديق,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن ضاحية الرشيد,الصديق,32.0118,35.8881
الصلاحية,لواء ناعور,مديرية شرطة جنوب عمان,مركز أمن ناعور,الصلاحية,31.7167,35.9222
الصناعة,لواء وادي السير,مديرية شرطة جنوب عمان,مركز أمن البيادر,الصناعة,31.9397,35.8425
الصويفية,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن تلاع العلي,الصويفية,31.9584,35.8639
الصيوانية,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن صويلح,الصيوانية,32.0630,35.7206
الضياء,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن أبو نصير,الضياء,32.0751,35.8827
الطيبة وخريبة السوق,لواء القويسمة,مديرية شرطة جنوب عمان,مركز أمن الجويدة,الطيبة وخريبة السوق,31.8705,35.9250
الظهير,لواء وادي السير,مديرية شرطة جنوب عمان,مركز أمن البيادر,الظهير,31.9163,35.8533
العال,لواء ناعور,مديرية شرطة جنوب عمان,مركز أمن ناعور,العال,31.8167,35.8333
العبدلي,لواء قصبة عمان,مديرية شرطة وسط عمان,مركز أمن الشميساني,العبدلي,31.9630,35.9050
العدسية,لواء ناعور,مديرية شرطة جنوب عمان,مركز أمن ناعور,العدسية,31.8529,35.7502
العدلية,لواء قصبة عمان,مديرية شرطة وسط عمان,مركز أمن الحسين,العدلية,31.9587,35.9281
العروبة,لواء القويسمة,مديرية شرطة شرق عمان,مركز أمن القويسمة,العروبة,31.9211,35.9747
العريش,لواء ناعور,مديرية شرطة جنوب عمان,مركز أمن ناعور,العريش,31.7830,35.7815
العقربي,لواء قصبة عمان,مديرية شرطة جنوب عمان,مركز أمن جبل الزهور,العقربي,31.9150,35.9200
العلالي,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن صويلح,العلالي,32.0007,35.7716
العلماء,لواء ناعور,مديرية شرطة جنوب عمان,مركز أمن ناعور,العلماء,31.7058,35.7835
العوده,لواء قصبة عمان,مديرية شرطة شرق عمان,مركز أمن الأشرفية,العوده,31.9309,35.9413
الغابة,لواء ماركا,مديرية شرطة شمال عمان,مركز أمن طارق,الغابة,32.0140,35.9518
الغبية,لواء ناعور,مديرية شرطة جنوب عمان,مركز أمن ناعور,الغبية,31.8017,35.8801
الفاروق,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن أبو نصير,الفاروق,32.0584,35.8875
الفحيص,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن صويلح,الفحيص,32.0097,35.7690
الفخيرة,لواء وادي السير,مديرية شرطة جنوب عمان,مركز أمن البيادر,الفخيرة,31.9200,35.8050
الفرزة,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن صويلح,الفرزة,32.0433,35.7523
الفرقان,لواء القويسمة,مديرية شرطة جنوب عمان,مركز أمن المقابلين,الفرقان,31.8805,35.8945
الفضيلة,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن صويلح,الفضيلة,32.0199,35.8542
الفقيعات,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن صويلح,الفقيعات,32.0150,35.8650
الفيصل,لواء ماركا,مديرية شرطة شمال عمان,مركز أمن طارق,الفيصل,32.0106,35.9709
الفيصلية,لواء ناعور,مديرية شرطة جنوب عمان,مركز أمن ناعور,الفيصلية,31.7552,35.7651
القسارية,لواء القويسمة,مديرية شرطة جنوب عمان,مركز أمن الجويدة,القسارية,31.8750,35.9250
القصطل,لواء ناعور,مديرية شرطة جنوب عمان,مركز أمن ناعور,القصطل,31.7500,35.9333
القصور,لواء قصبة عمان,مديرية شرطة وسط عمان,مركز أمن المدينة,القصور,31.9595,35.9376
القويجية,لواء ناعور,مديرية شرطة جنوب عمان,مركز أمن ناعور,القويجية,31.7331,35.7419
القويسمة,لواء القويسمة,مديرية شرطة شرق عمان,مركز أمن القويسمة,القويسمة,31.9180,35.9650
الكمالية,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن صويلح,الكمالية,32.0294,35.8260
الكمشة,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن أبو نصير,الكمشة,32.1231,35.9053
الكوم الشرقي,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن شفا بدران,الكوم الشرقي,32.0378,35.9543
الكوم الغربي,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن شفا بدران,الكوم الغربي,32.0334,35.9316
اللبن,لواء سحاب,مديرية شرطة شرق عمان,مركز أمن سحاب,اللبن,31.8240,35.9617
اللويبدة,لواء قصبة عمان,مديرية شرطة وسط عمان,مركز أمن الحسين,اللويبدة,31.9560,35.9180
المأمونية الشرقية,لواء ناعور,مديرية شرطة جنوب عمان,مركز أمن ناعور,المأمونية الشرقية,31.7371,35.8336
المأمونية الغربية,لواء ناعور,مديرية شرطة جنوب عمان,مركز أمن ناعور,المأمونية الغربية,31.7445,35.8053
المبرك,لواء القويسمة,مديرية شرطة شرق عمان,مركز أمن المنارة,المبرك,31.9333,35.9833
المبروكة,لواء القويسمة,مديرية شرطة شرق عمان,مركز أمن أحد,المبروكة,32.1567,36.2894
المجد,لواء وادي السير,مديرية شرطة جنوب عمان,مركز أمن مرج الحمام,المجد,31.8615,35.8726
المحبة,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن أبو نصير,المحبة,32.0479,35.8791
المحجر,لواء قصبة عمان,مديرية شرطة وسط عمان,مركز أمن الشميساني,المحجر,31.9680,35.8780
المحطة,لواء قصبة عمان,مديرية شرطة شمال عمان,مركز أمن الهاشمي,المحطة,31.9663,35.9666
المخيم,لواء ناعور,مديرية شرطة جنوب عمان,مركز أمن ناعور,المخيم,31.7130,35.7866
المدورة,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن أبو نصير,المدورة,32.0837,35.8500
المدينة,لواء قصبة عمان,مديرية شرطة وسط عمان,مركز أمن المدينة,المدينة,31.9515,35.9380
المدينة الرياضية,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن صويلح,المدينة الرياضية,32.0590,35.7024
المدينة الطبية,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن تلاع العلي,المدينة الطبية,31.9808,35.8289
المدينة المنورة,لواء ماركا,مديرية شرطة شرق عمان,مركز أمن ماركا,المدينة المنورة,32.0581,36.0538
المروج,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن شفا بدران,المروج,32.0511,35.9198
المزار,لواء قصبة عمان,مديرية شرطة وسط عمان,مركز أمن زهران,المزار,31.9600,35.8720
المسرة,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن أبو نصير,المسرة,32.1658,35.9344
المشتى,لواء سحاب,مديرية شرطة شرق عمان,مركز أمن سحاب,المشتى,31.7659,36.0028
المشقر,لواء ناعور,مديرية شرطة جنوب عمان,مركز أمن ناعور,المشقر,31.8417,35.7761
المشيرفة,لواء القويسمة,مديرية شرطة شرق عمان,مركز أمن أحد,المشيرفة,31.9006,36.0528
المصانع,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن صويلح,المصانع,32.0621,35.7246
المصطبة,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن أبو نصير,المصطبة,32.1864,35.8561
المضاري,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن صويلح,المضاري,32.0673,35.7833
المعادي,لواء القويسمة,مديرية شرطة شرق عمان,مركز أمن القويسمة,المعادي,31.9150,35.9599
المعليق,لواء وادي السير,مديرية شرطة جنوب عمان,مركز أمن البيادر,المعليق,31.9433,35.7751
المغبة الشرقي,لواء سحاب,مديرية شرطة شرق عمان,مركز أمن سحاب,المغبة الشرقي,31.8853,35.9733
المقابلين,لواء القويسمة,مديرية شرطة جنوب عمان,مركز أمن المقابلين,المقابلين,31.9028,35.9125
الملك طلال,لواء ماركا,مديرية شرطة شرق عمان,مركز أمن ماركا,الملك طلال,32.0339,36.0727
المنارة,لواء ماركا,مديرية شرطة شرق عمان,مركز أمن النصر,المنارة,31.9448,35.9619
المنش,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن أبو نصير,المنش,32.1333,35.8333
المنشية/الجيزة,لواء ناعور,مديرية شرطة جنوب عمان,مركز أمن ناعور,المنشية/الجيزة,31.7000,35.9333
الموحدين,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن شفا بدران,الموحدين,32.0689,35.9058
الموقر,لواء القويسمة,مديرية شرطة شرق عمان,مركز أمن أحد,الموقر,31.8130,36.1080
الميدات,لواء وادي السير,مديرية شرطة جنوب عمان,مركز أمن البيادر,الميدات,31.9626,35.7367
الميدان,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن صويلح,الميدان,32.0420,35.7287
الميسة,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن صويلح,الميسة,32.0518,35.7629
النديم,لواء ناعور,مديرية شرطة جنوب عمان,مركز أمن ناعور,النديم,31.7160,35.7788
النزهة,لواء قصبة عمان,مديرية شرطة وسط عمان,مركز أمن النزهة,النزهة,31.9750,35.9350
النصر,لواء ماركا,مديرية شرطة شرق عمان,مركز أمن النصر,النصر,31.9450,35.9750
النظافة,لواء ناعور,مديرية شرطة جنوب عمان,مركز أمن ناعور,النظافة,31.7314,35.7878
النظيف,لواء قصبة عمان,مديرية شرطة وسط عمان,مركز أمن المهاجرين,النظيف,31.9371,35.9264
النعامي,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن أبو نصير,النعامي,32.1969,35.8677
النقب,لواء ناعور,مديرية شرطة جنوب عمان,مركز أمن ناعور,النقب,31.8650,35.7950
النهارية,لواء القويسمة,مديرية شرطة شرق عمان,مركز أمن القويسمة,النهارية,31.9264,35.9500
الهاشمي,لواء قصبة عمان,مديرية شرطة شمال عمان,مركز أمن الهاشمي,الهاشمي,31.9710,35.9550
الهاشمي الجنوبي,لواء قصبة عمان,مديرية شرطة شمال عمان,مركز أمن الهاشمي,الهاشمي الجنوبي,31.9622,35.9528
الهاشمي الشامي,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن تلاع العلي,الهاشمي الشامي,31.9780,35.8640
الهاشمي الشمالي,لواء قصبة عمان,مديرية شرطة شمال عمان,مركز أمن الهاشمي,الهاشمي الشمالي,31.9703,35.9589
