اسم المنطقة/الحي,لواء (متصرفية),مديرية الشرطة,مركز الأمن العام الأقرب,العنوان التقريبي,خط العرض,خط الطول
حي القمر,لواء ماركا,مديرية شرطة شرق عمان,مركز أمن ماركا,حي القمر,32.0633,36.0633
حي الكرسي,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن تلاع العلي,حي الكرسي,31.9658,35.8271
حي المركز الصحي,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن أبو نصير,حي المركز الصحي,32.1224,35.7415
حي المريخ,لواء قصبة عمان,مديرية شرطة شرق عمان,مركز أمن الأشرفية,حي المريخ,31.9352,35.9298
حي المزود,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن صويلح,حي المزود,32.0069,35.7055
حي المصلى,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن صويلح,حي المصلى,32.0742,35.7218
حي المطار,لواء ماركا,مديرية شرطة شرق عمان,مركز أمن ماركا,حي المطار,31.9771,35.9849
حي المنتزه,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن أبو نصير,حي المنتزه,32.1081,35.7094
حي المنشية,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن صويلح,حي المنشية,32.0330,35.7260
حي الميامين,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن صويلح,حي الميامين,32.0256,35.7190
حي النزهة,لواء ماركا,مديرية شرطة شرق عمان,مركز أمن ماركا,حي النزهة,32.0616,36.0813
حي النصر,لواء ماركا,مديرية شرطة شرق عمان,مركز أمن ماركا,حي النصر,32.0685,36.0972
حي النعير,لواء وادي السير,مديرية شرطة جنوب عمان,مركز أمن البيادر,حي النعير,31.9540,35.8049
حي الوسية,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن أبو نصير,حي الوسية,32.1005,35.7821
حي اليزيدية,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن صويلح,حي اليزيدية,32.0583,35.7728
حي اليزيدية الجنوبي,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن صويلح,حي اليزيدية الجنوبي,32.0587,35.7761
حي اليزيدية الشمالي,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن صويلح,حي اليزيدية الشمالي,32.0586,35.7692
حي ام العمد,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن أبو نصير,حي ام العمد,32.1150,35.7453
حي بطنا,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن صويلح,حي بطنا,32.0011,35.7051
حي بلال,لواء وادي السير,مديرية شرطة جنوب عمان,مركز أمن البيادر,حي بلال,31.9640,35.7988
حي جلعد,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن أبو نصير,حي جلعد,32.1374,35.7899
حي رمزي,لواء ماركا,مديرية شرطة شرق عمان,مركز أمن ماركا,حي رمزي,32.0772,36.0829
حي زي,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن أبو نصير,حي زي,32.1058,35.7238
حي سلعوف,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن أبو نصير,حي سلعوف,32.1097,35.7597
حي طباعة,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن صويلح,حي طباعة,32.0923,35.7109
حي كفر هودا,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن صويلح,حي كفر هودا,32.0877,35.7030
حي معصوم,لواء ماركا,مديرية شرطة شرق عمان,مركز أمن ماركا,حي معصوم,32.0782,36.0759
حي نقب الدبور,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن صويلح,حي نقب الدبور,32.0323,35.7397
حي وادي الاكراد,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن صويلح,حي وادي الاكراد,32.0428,35.7148
حي وادي الحلبي,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن صويلح,حي وادي الحلبي,32.0500,35.7198
حي وادي السير,لواء وادي السير,مديرية شرطة جنوب عمان,مركز أمن البيادر,حي وادي السير,31.9541,35.8275
حي وادي سودا,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن صويلح,حي وادي سودا,32.0511,35.7034
حي وادي شعيب,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن صويلح,حي وادي شعيب,31.9819,35.7080
خربة الأديرة,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن أبو نصير,خربة الأديرة,32.1175,35.7343
خربة الرصيفة,لواء ماركا,مديرية شرطة شرق عمان,مركز أمن ماركا,خربة الرصيفة,32.0167,36.0167
خربة السمراء,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن شفا بدران,خربة السمراء,32.1833,36.1667
خربة الشباك,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن أبو نصير,خربة الشباك,32.0833,35.7833
خربة العناب,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن صويلح,خربة العناب,32.0167,35.7500
خربة اليزيدية,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن صويلح,خربة اليزيدية,32.0660,35.7831
خربة جريبة,لواء ماركا,مديرية شرطة شمال عمان,مركز أمن طارق,خربة جريبة,32.0492,35.9997
خربة خو,لواء ماركا,مديرية شرطة شرق عمان,مركز أمن ماركا,خربة خو,32.0833,36.1333
خربة شومر,لواء ماركا,مديرية شرطة شرق عمان,مركز أمن ماركا,خربة شومر,32.0838,36.0543
خربة مخول,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن شفا بدران,خربة مخول,32.1167,36.0667
خربیه السوق,لواء القويسمة,مديرية شرطة جنوب عمان,مركز أمن الجويدة,خربیه السوق,31.8701,35.9292
خلدا,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن تلاع العلي,خلدا,31.9860,35.8480
